#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,pod
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:15Z,26,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:16Z,26,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:17Z,26,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:19Z,26,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:20Z,26,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:21Z,26,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:23Z,26,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:24Z,26,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:26Z,26,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:27Z,26,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:28Z,26,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:30Z,26,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:31Z,26,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:32Z,26,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:34Z,26,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:35Z,26,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:36Z,26,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:38Z,20,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:39Z,20,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:40Z,20,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:42Z,20,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:43Z,20,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:44Z,20,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:46Z,20,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:47Z,20,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:11:48Z,20,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
